bet_id,match_id,date,home_team,away_team,market,selection,odds,stake,outcome,profit_loss,notes
001,013,2026-06-15,Spain,Cape Verde,total_over,Over 9.5,1.85,2.0,won,1.7,Spain dominated with 27 shots but Vozinha (40yo GK) made 7 saves. Cape Verde pure deep block delivered exactly as modelled.
002,014,2026-06-15,Belgium,Egypt,ah_corners,Belgium -3.0,1.95,1.0,lost,-1.0,Egypt scored in 19th min via Ashour. Belgium chased but Egypt dominated corners on the counter. AH corners destroyed.
003,017,2026-06-16,France,Senegal,total_over,Over 9.5,1.85,1.0,won,0.85,France wide possession vs Senegal compact mid-block. Tight first half then opened up. 10 corners matched baseline of 10.6.
004,021,2026-06-17,Portugal,DR Congo,total_over,Over 9.5,2.0,1.0,lost,-1.0,"Joao Neves 6th min, Wissa equalised 45+5. Congo scored in first half stoppage time from cross. Portugal never fully dominated."
005,024,2026-06-17,England,Croatia,total_over,Over 9.0,1.9,1.0,won,0.9,"England 4-2 dominant win. 8 England corners from sustained wide pressure. Saka, Gordon, Madueke all wide threat confirmed."
006,028,2026-06-19,Canada,Qatar,total_over,Over 9.5,1.8,1.0,won,0.8,"Bet placed: Total Over 9.5 @ 1.800, stake 1.00u - WON (+0.80u). Qatar red card #1 at 34' (Homam Ahmed, pulled down Buchanan, Canada already 2-0 up). Red card #2 at 54' (Madibo, dangerous tackle that also stretchered off Kone with a serious leg injury) reduced Qatar to 9 men for the final 36+ minutes. Canada cruised to 6-0."
007,042,2026-06-20,Scotland,Morocco,total_under,Under 8.5,1.9,1.0,won,0.9,"Bet placed: Total Under 8.5 @ 1.900, stake 1.00u - WON (+0.90u). Baseline 5.0 vs line 8.5 (edge -3.5) held despite n=1 for both teams - the biggest gap of the day, and it delivered."
008,046,2026-06-21,Tunisia,Japan,total_under,Under 9.0,1.8,1.0,won,0.8,"Bet placed: Total Under 9.0 @ 1.800, stake 1.00u - WON (+0.80u), taken below the 1.850 tier_2 floor as an explicit override given the edge size and multi-match research backing both teams. Tunisia took 3 corners even in a 4-goal loss, Japan capped at 5 despite total dominance (57% poss, 10 shots) - both consistent with the 6-match non-WC research from yesterday, not outlier blowout noise."
009,047,2026-06-21,Ecuador,Curacao,total_under,Under 9.0,1.9,1.0,void,-1.0,"Bet placed: Total Under 9.0 @ 1.900, stake 1.00u - PUSH/VOID, total landed exactly on the whole-number line. Curacao took 0 corners despite conceding 26 shots and 75% possession to Ecuador - second straight match at near-zero output, fully confirms yesterday's research and the planned reliability upgrade."
010,049,2026-06-22,Spain,Saudi Arabia,total_over,Over 10.0,2.0,1.0,lost,-1.0,"Bet placed: Total Over 10.0 @ 2.000, stake 1.00u - LOST (-1.00u). Spain dominated (21 shots, 65% poss) but scored via individual quality (Yamal solo run, Oyarzabal brace, OG) rather than sustained wide crossing - only 6 corners. Group-context check found no dead-rubber reason to expect underperformance, which is itself informative: the scoring mechanism mattered more than the stakes context."
011,053,2026-06-23,Jordan,Algeria,total_under,Under 8.5,1.925,1.0,lost,-1.0,"Jordan led 1-0 at 36th min (underdog scored early), Algeria equalised 69th then won 82nd - favourite chased wide hard, racking up 10 corners to Jordan's 1. Classic underdog-scores-early corner explosion, just at a lower absolute volume than Saudi-Uruguay."
012,054,2026-06-23,Argentina,Austria,total_under,Under 8.0,1.825,1.0,won,0.825,"Messi scored 38th and 90+5th. Argentina central_possession identity held again - just 1 corner from the home side despite controlling the game (54% poss, 12 shots). Austria managed 3 corners themselves."
013,055,2026-06-23,France,Iraq,total_over,Over 9.5,1.9,1.0,lost,-1.0,"Mbappe 14th and 54th, Dembele 66th. France dominated (19 shots, 56% poss) but the blowout set in early and corners stayed low (6 total) despite France's wide_possession tag - thin edge (+0.65) on Over was taken anyway and lost."
014,056,2026-06-23,Norway,Senegal,total_under,Under 9.0,1.925,1.0,void,-1.0,"Pedersen 43', Haaland 48'+58' for Norway; Sarr 53'+90+3 for Senegal. High-scoring back-and-forth but corners landed dead on the 9.0 whole-number line - third push/void of the tournament on a round-number total."
